"species","year","naxes","beta_total","beta_repl","beta_diff","vol_protected","vol_unprotected","disp_protected","disp_unprotected","delta_vol","delta_disp"
"Bombycilla garrulus","2012s",7,0.765,0.755,0.01,0.276243521098232,0.280771637481543,0.604900104364919,0.604907054962941,-0.00452811638331113,-6.9505980222484e-06
"Bombycilla garrulus","2018s",6,0.539,0.519,0.019,21.9290831740913,21.3521435428189,0.651334189269961,0.641310274423781,0.576939631272488,0.0100239148461799
"Grus grus","2006s",7,0.27,0.261,0.009,52.0243984929726,51.4671601092901,0.645487021855444,0.642870887295562,0.557238383682495,0.00261613455988163
"Grus grus","2012s",6,0.301,0.258,0.044,201.952388798006,212.575863561222,0.639692998566062,0.644553608946605,-10.6234747632158,-0.00486061038054331
"Grus grus","2018s",7,0.234,0.191,0.043,53.2584514204273,50.7008298227949,0.624706189003216,0.621020766011472,2.55762159763238,0.00368542299174357
"Loxia pytyopsittacus","2006s",6,0.995,0.977,0.018,0.133158017735558,0.138090639743467,0.606126813520999,0.603776488130709,-0.00493262200790914,0.00235032539028979
"Loxia pytyopsittacus","2012s",5,0.147,0.146,0.001,982.529328470226,983.807838233904,0.601914651296992,0.609106215605172,-1.27850976367745,-0.00719156430817991
"Loxia pytyopsittacus","2018s",7,0.857,0.843,0.014,0.135065314930122,0.138375233455534,0.618764442782368,0.623308204524838,-0.00330991852541215,-0.00454376174246962
"Prunella modularis","2006s",7,0.393,0.354,0.039,16.3903775817771,17.2129917877199,0.71627270571706,0.727031857177922,-0.822614205942781,-0.0107591514608618
"Prunella modularis","2012s",7,0.401,0.292,0.109,6.48702159642789,7.43548848081073,0.612308619406338,0.624657705339677,-0.948466884382841,-0.0123490859333387
"Prunella modularis","2018s",7,0.419,0.403,0.016,12.6904545732619,12.9506006859926,0.617834883400776,0.623063883906735,-0.260146112730641,-0.0052290005059592
"Regulus regulus","2006s",7,0.556,0.489,0.067,2.27315739369527,2.49378797755195,0.57180851056435,0.585431893727626,-0.220630583856675,-0.0136233831632758
"Regulus regulus","2012s",7,0.557,0.539,0.017,4.42253850362605,4.31679414667629,0.613397892393052,0.614895007498653,0.105744356949762,-0.00149711510560069
"Regulus regulus","2018s",7,0.639,0.627,0.012,2.78481296423264,2.73634079974275,0.59502145577403,0.594514403800833,0.0484721644898904,0.00050705197319767
"Dryocopus martius","2006s",7,0.997,0.966,0.03,0.000884256209245417,0.000939563273798438,0.605885264902529,0.607759700287848,-5.53070645530206e-05,-0.00187443538531862
"Dryocopus martius","2012s",7,0.597,0.577,0.02,0.795570216944396,0.773503617444132,0.579137605178286,0.578511356441221,0.0220665995002639,0.000626248737064183
"Dryocopus martius","2018s",7,0.306,0.298,0.008,33.3111694320314,33.6294242767726,0.607653340886895,0.608646476599499,-0.318254844741126,-0.000993135712604176
"Saxicola rubetra","2006s",6,0.171,0.104,0.068,616.012099716548,571.880598919149,0.620360900215588,0.612101476891304,44.131500797399,0.00825942332428342
"Saxicola rubetra","2012s",7,0.353,0.324,0.029,23.0666940321848,23.8963703209595,0.616362577602661,0.620396100842853,-0.829676288774735,-0.00403352324019235
"Saxicola rubetra","2018s",7,0.619,0.592,0.027,9.35239231620359,9.72949076242508,0.662334647045405,0.652491402625706,-0.377098446221485,0.00984324441969875
"Troglodytes troglodytes","2006s",6,0.239,0.206,0.033,35.0900670210884,33.8034488034306,0.558703150042464,0.553018737471037,1.28661821765786,0.0056844125714276
"Troglodytes troglodytes","2012s",7,0.45,0.388,0.062,6.32124844702774,6.84854142176683,0.619710713701104,0.625452520239755,-0.527292974739094,-0.0057418065386502
"Troglodytes troglodytes","2018s",6,0.151,0.147,0.004,344.967747167968,343.48750104072,0.660194846965351,0.661163770079156,1.48024612724822,-0.000968923113804698
"Acrocephalus schoenobaenus","2000s",5,0.064,0.058,0.006,40139.9552910336,40390.5222542738,0.848938720871903,0.847646942651154,-250.566963240242,0.00129177822074922
"Acrocephalus schoenobaenus","2006s",7,0.206,0.172,0.034,298.048631320802,309.554113614568,0.670763231002257,0.673926858378763,-11.5054822937659,-0.00316362737650622
"Acrocephalus schoenobaenus","2012s",7,0.216,0.195,0.021,461.013911925218,472.122311658858,0.823662901707261,0.824304913452743,-11.1083997336399,-0.000642011745481286
"Acrocephalus schoenobaenus","2018s",6,0.184,0.123,0.06,582.149494119004,544.691308942133,0.666087223831756,0.665660705749918,37.4581851768705,0.000426518081838689
"Alauda arvensis","2006s",6,0.119,0.088,0.032,1131.22322858875,1093.90651525112,0.634260874848591,0.636026420208154,37.3167133376271,-0.00176554535956319
"Alauda arvensis","2012s",6,0.13,0.128,0.003,522.183167744494,523.595145138538,0.576844202675653,0.578113378814838,-1.4119773940439,-0.00126917613918531
"Alauda arvensis","2018s",7,0.288,0.279,0.009,146.328393279032,147.894266377069,0.641139942266537,0.648361427855151,-1.56587309803709,-0.00722148558861413
"Chloris chloris","2006s",7,0.289,0.273,0.016,227.384932428336,223.200099740752,0.76550279967995,0.767552397704361,4.18483268758416,-0.00204959802441096
"Chloris chloris","2012s",5,0.252,0.227,0.026,1078.84732078493,1110.96724515588,0.66952249157165,0.675238103226364,-32.1199243709466,-0.00571561165471401
"Chloris chloris","2018s",7,0.486,0.472,0.014,31.9059531141148,32.5127612826286,0.680312011850098,0.682600943130291,-0.606808168513766,-0.00228893128019358
"Columba palumbus","2000s",5,0.09,0.071,0.02,3160.41813011333,3225.70654300341,0.66963758993658,0.664638131115026,-65.2884128900814,0.00499945882155406
